List,Card Title,Description,Labels,Members,Due Date,Checklist,Estimate (days)
P0-核心,2.1 Agent Loop 架构,"实现基于 LangGraph 的 Agent Loop 架构（ReAct 模式），支持 LLM 自主决策的多轮对话流程。


验收标准:
- 支持最大 100 Loop（可配置 1-500）
- Token 使用率 >95% 时自动路由到 summarization
- LLM 决定无需工具时自动结束
- Loop 限制触发时强制 finalize


代码位置: generalAgent/graph/builder.py","Agent流程,服务端",,,,3
P0-核心,2.2 状态定义（AppState）,"定义完整的会话状态结构，包含消息历史、工具状态、任务追踪、上下文隔离、Token 追踪等所有必要信息。


验收标准:
- 支持 LangChain 消息累加器（`add_messages`）
- 支持主 Agent 和 Subagent 状态隔离
- 支持 Token 追踪和压缩标志位
- 所有字段类型正确，支持 TypedDict 类型检查


代码位置: generalAgent/graph/state.py","Agent流程,服务端",,,,3
P0-核心,2.3 Planner 节点,"实现 Planner 节点（agent 节点），负责 LLM 推理、工具可见性控制、动态提醒生成、Token 监控。


验收标准:
- SystemMessage 固定不变（KV Cache 优化）
- 动态提醒追加到最后一条 HumanMessage
- Token 使用率 >95% 时设置压缩标志位
- 支持多模态输入检测（图片 → 自动选择 vision 模型）
- 正确累加 Loop 计数器


代码位置: generalAgent/graph/nodes/planner.py","Agent流程,服务端",,,"- [ ] 收集可见工具（persistent + @mentioned）
- [ ] 检测多模态输入（图片/代码）
- [ ] 构建 SystemMessage（静态，KV Cache 优化）
- [ ] 构建动态提醒（技能、工具、TODO、文件上传）
- [ ] 追加提醒到最后一条 HumanMessage",5
P0-核心,2.4 Tools 节点（工具执行）,"实现 Tools 节点，负责执行 LLM 生成的工具调用，并返回 ToolMessage 结果。


验收标准:
- 支持并发执行多个工具调用
- 支持工具按需加载（load_on_demand）
- 支持 HITL 审批拦截
- 错误消息清晰，包含工具名称和参数
- 返回到调用方 Agent（支持 Handoff Pattern）


代码位置: generalAgent/graph/builder.py:105-122","Agent流程,服务端",,,"- [ ] 解析 AIMessage 中的 tool_calls
- [ ] 对每个 tool_call:
- [ ] 收集所有 ToolMessage
- [ ] 返回到 Planner 节点（或当前 Agent）",5
P0-核心,2.5 Finalize 节点（最终输出）,"实现 Finalize 节点，负责在 Agent Loop 结束时格式化最终输出。


验收标准:
- 仅在最后一条消息是 ToolMessage 时执行
- 不绑定任何工具（避免继续循环）
- 正确处理消息历史截断
- 生成自然语言回复


代码位置: generalAgent/graph/nodes/finalize.py","Agent流程,服务端",,,"- [ ] 检查最后一条消息是否为 ToolMessage
- [ ] 清理消息历史（移除无效 tool_calls）
- [ ] 安全截断消息历史（保留最近 N 条，默认 40）
- [ ] 调用 LLM（无工具绑定）
- [ ] 返回最终 AIMessage",5
P0-核心,2.6 Summarization 节点（自动压缩）,"实现 Summarization 节点，负责在 Token 使用率超过 95% 时自动压缩消息历史。


验收标准:
- Token 使用率 >95% 时自动触发
- 保留最近 15% context window 的消息（或至少 10 条）
- LLM 压缩失败时回退到紧急截断
- 用户无感知（无通知消息）
- 压缩后正确重置 Token 计数器


代码位置: generalAgent/graph/nodes/summarization.py","Agent流程,服务端",,,"- [ ] 检查是否需要压缩
- [ ] 计算保留消息数量
- [ ] 调用 LLM 压缩旧消息
- [ ] 生成压缩后消息列表
- [ ] 重置 Token 计数器",5
P0-核心,2.7 消息历史管理,"提供消息历史清理和安全截断功能，确保 OpenAI API 兼容性。


验收标准:
- 清理未响应的 tool_calls（避免 OpenAI API 错误）
- 截断时保留 AIMessage-ToolMessage 对
- 始终保留 SystemMessage
- 可配置截断阈值（MAX_MESSAGE_HISTORY）


代码位置: generalAgent/graph/message_utils.py","Agent流程,服务端",,,,3
P0-核心,2.8 路由逻辑,"实现三个路由函数，控制 Agent Loop 的执行流程。


验收标准:
- 路由优先级正确（Loop 限制 > 压缩 > 工具调用）
- 支持 Handoff Pattern（Multi-Agent）
- 记录路由决策日志


代码位置: generalAgent/graph/routing.py","Agent流程,服务端",,,"- [ ] 检查 Loop 限制（loops >= max_loops → finalize）
- [ ] 检查压缩需求（needs_compression → summarization）
- [ ] 检查工具调用（tool_calls → tools，否则 finalize）",3
P0-核心,2.9 KV Cache 优化,"优化 SystemMessage 和提醒机制，最大化 KV Cache 复用率，降低推理成本。


验收标准:
- SystemMessage 在会话期间固定不变
- 时间戳精度为分钟级（HH:MM UTC）
- 动态提醒追加到最后一条 HumanMessage
- 多轮对话中 KV Cache 复用率 ≥70%


代码位置: generalAgent/graph/nodes/planner.py:86-107","Agent流程,服务端",,,,3
P0-核心,FR-TOOL-001 now工具 - 时间获取,"系统应提供获取当前UTC时间的工具,支持Agent生成带时间戳的内容。


验收标准:
- 返回格式符合ISO 8601标准
- 时区为UTC(避免时区混淆)
- 响应时间<10ms
- 无需配置,开箱即用","工具系统,服务端",,,,3
P0-核心,FR-TOOL-002 todo_write工具 - 任务创建与更新,"系统应提供任务列表管理工具,支持创建、更新、标记完成任务,追踪任务进度。


验收标准:
- 任务创建后立即在state[""todos""]中可见
- 状态更新通过LangGraph Command同步
- 同时最多1个in_progress任务
- 任务完成前必须有工具调用记录(通过prompt强化)","工具系统,服务端",,,"- [ ] **任务分解**: 将大任务拆分为子任务列表
- [ ] **进度追踪**: 实时显示当前执行到哪一步
- [ ] **团队协作**: 明确任务分配和完成状态
- [ ] **质量保证**: 确保所有步骤都已完成",3
P0-核心,FR-TOOL-003 todo_read工具 - 任务查看,"系统应提供查看当前任务列表的工具,支持Agent检查任务状态。


验收标准:
- 显示所有任务(包括completed)
- 状态标签清晰可见
- 响应时间<50ms","工具系统,服务端",,,"- [ ] [in_progress] 正在运行测试
- [ ] [pending] 分析测试结果
- [ ] [completed] 阅读代码文件",3
P0-核心,FR-TOOL-004 delegate_task工具 - 子任务委派,"系统应支持创建同类型subagent,委派子任务执行,实现任务分解和并行处理。


验收标准:
- Subagent能访问继承的工具和技能
- Subagent不能访问主对话历史
- 最后一条消息≥200字符(或经过1次连续请求)
- 总结包含:做了什么、发现了什么、结果是什么
- Subagent可以使用ask_human工具
- 用户输入带`[subagent-xxx]`前缀(清晰区分)","工具系统,服务端",,,"- [ ] **搜索任务**: ""搜索Python 3.13新特性""
- [ ] **调试任务**: ""找到代码中所有使用deprecated API的地方""
- [ ] **文档分析**: ""分析这个50页的PDF报告,总结关键信息""
- [ ] **数据处理**: ""处理这个Excel表格,生成统计报告""",5
P0-核心,FR-TOOL-005 call_agent工具 - 跨类型Agent调用,"系统应支持跨类型Agent调用,允许GeneralAgent调用SimpleAgent或其他专用Agent。


验收标准:
- 能调用AgentRegistry中注册的任何Agent
- 返回结果通过Command更新父状态
- 调用失败时有明确错误信息
- 支持超时控制","工具系统,服务端",,,"- [ ] **代码分析**: 调用CodeAgent分析代码质量
- [ ] **快速查询**: 调用SimpleAgent处理简单问答
- [ ] **专业任务**: 调用领域专用Agent(如FinanceAgent)",3
